Lewis,16/10/2018,Initial commit',,
Lewis,16/10/2018,Created unity project',,
Lewis,22/10/2018,Started on office generation',,
Lewis,23/10/2018,Further office generator process',,
Lewis,05/11/2018,Update to office generator',,
Edward,05/11/2018,Started setting up employees',,
Lewis,05/11/2018,Merge branch 'master' of https://github.com/Lewis/CapitalistsCupidity',,
Jack,05/11/2018,End of lesson',,
Jack,05/11/2018,Merge branch 'master' of https://github.com/Lewis/CapitalistsCupidity',,
Lewis,05/11/2018,Update to office generator',,
Lewis,05/11/2018,Update to office generator',,
Edward,06/11/2018,Started on steering and collision avoidance',,
Lewis,06/11/2018,Further improvement to office generation',,
Jack,06/11/2018,Basic UI Stuff',,
Lewis,06/11/2018,Start on camera',,
Edward,06/11/2018,Employee stats',,
Edward,11/11/2018,Got events working',,
Lewis,11/11/2018,Added loading screen',,
Lewis,11/11/2018,Updates to camera, quality settings, player controller build bug fix'
Edward,12/11/2018,Fixed naming issue',,
Jack,12/11/2018,Facility Canvas should update with facility information now', but errors happen when theyre fired',
Edward,12/11/2018,Collision avoidance works,,
Jack,12/11/2018,You can edit the facility now',,
Lewis,12/11/2018,Started on tab UI',,
Lewis,13/11/2018,Floor select UI',,
Jack,13/11/2018,Facility Updates and Businesses base implemented',,
Lewis,13/11/2018,A little bit more stuff',,
Edward,13/11/2018,Flocking and collision almost done',,
Edward,13/11/2018,Flocking now works and bois still avoid collisions', businesses and names',
Edward,13/11/2018,Added more obstacles',,
Lewis,16/11/2018,Button scripts,,
Lewis,16/11/2018,Saved level',,
Lewis,18/11/2018,Ticker is functionally finished',,
Edward,19/11/2018,Avoidance tweaking',,
Jack,19/11/2018,End of day push',,
Lewis,19/11/2018,Further work on UI',,
Edward,19/11/2018,Made a start on utility AI. will finish tomorrow',,
Edward,20/11/2018,Created a total active employee method for Lewis',,
Lewis,20/11/2018,Time controls,,
Jack,20/11/2018,You can purchase Facilities now',,
Jack,20/11/2018,Prefabs',,
Edward,20/11/2018,Temp prefab folder for AI and utility AI is very nearly at alpha',,
Jack,20/11/2018,Padding!',,
Lewis,20/11/2018,End of lesson',,
Edward,20/11/2018,Utility AI works',,
Lewis,20/11/2018,Updates to camera and office',,
Lewis,20/11/2018,Camera tweaks',,
Lewis,25/11/2018,Added pause menu',,
Lewis,26/11/2018,Small changes',,
Lewis,26/11/2018,Prefabs',,
Edward,26/11/2018,Optimisation on moveto so is only called once to set targetpos',,
Lewis,26/11/2018,Quick push',,
Jack,26/11/2018,Some stuff',,
Lewis,26/11/2018,Walls are now planes',,
Edward,26/11/2018,Added generated weightings to needs to mimic personality',,
Jack,26/11/2018,renamed camera variable',,
Edward,27/11/2018,Basic time class implemented along with worker salaries',,
Jack,27/11/2018,Autodesk can fucking die',,
Jack,27/11/2018,Removed useless FIles', made it so copies don't show up on the facilities tab and fixed the double list in the facility purchase menu',
Jack,27/11/2018,3ds file push',,
Lewis,27/11/2018,Noticeboard',,
Lewis,01/12/2018,Added lifts,,
Edward,02/12/2018,Added basic saving and loading for director. will extend to everything once I work out whatr needs saving',,
Jack,03/12/2018,Prefab',,
Edward,03/12/2018,pay the guys fixed',,
Lewis,03/12/2018,Started integrations',,
Jack,03/12/2018,my canvas won't open if another one is open now',,
Edward,03/12/2018,Moved objects to director',,
Edward,03/12/2018,Disabled employees being set inactive',,
Jack,03/12/2018,Time changes funds',,
Lewis,03/12/2018,Integrations',,
Edward,03/12/2018,Sorted action issue though it needs optimising',,
Lewis,03/12/2018,Generator update',,
Edward,03/12/2018,Managed to sort actions',,
Lewis,03/12/2018,UI icons',,
Edward,04/12/2018,Still needs to test but now assign floors and facilities to bois',,
Lewis,04/12/2018,Facility spawning',,
Lewis,04/12/2018,Invisible office floor',,
Edward,04/12/2018,Can now assign work space',,
Lewis,04/12/2018,Facilities are renamed appropriately',,
Lewis,04/12/2018,Finished the last push',,
Edward,04/12/2018,Still fiddling with assigning facilities',,
Edward,04/12/2018,Fixed toilets issue',,
Lewis,04/12/2018,Some UI updates',,
Jack,04/12/2018,Bonuses and models',,
Jack,04/12/2018,renamed file',,
Edward,10/12/2018,Attempting to make employees use lift',,
Lewis,10/12/2018,UI updates,,
Edward,10/12/2018,Employees use the lift to get to their target floors',,
Lewis,10/12/2018,Progress on employee popup,,
Jack,10/12/2018,Cubicle',,
Lewis,10/12/2018,Turned things into singletons',,
Edward,11/12/2018,Employee layer now equals current floor',,
Edward,11/12/2018,Culled some foreach loops for performance',,
Lewis,11/12/2018,UI Updates',,
